;bid;Name;area;free_walls;floors;use;type;year;lat;lon;dist2hp
238;249;B249;58.86940717290926;4;3.0;3;2;1.0;-337174.79748212296;8708.63155354812;0
239;250;B250;96.4939217905543;4;3.0;3;2;1.0;-337249.54130294477;9070.483083955609;0
240;251;B251;91.33223888778048;3;3.0;3;2;1.0;-337145.6051073068;8944.874230545329;0
241;252;B252;39.33316493630246;4;3.0;3;2;1.0;-337183.6369509539;8796.762454395928;0
242;253;B253;195.4816079417941;4;3.0;3;2;1.0;-337261.8164468399;8752.113563613893;0
243;254;B254;36.129725189999945;4;3.0;3;2;1.0;-337041.4235289441;8999.295601759699;0
244;255;B255;109.78388191715597;3;3.0;3;2;1.0;-337225.5159903237;8765.35036093318;0
245;256;B256;95.32042067702248;3;3.0;3;2;1.0;-337218.6149612812;9060.521864871755;0
246;257;B257;54.921454416612974;4;3.0;3;2;1.0;-337176.2752343526;8962.053965777888;0
247;258;B258;16.540404317862517;4;3.0;3;2;1.0;-337109.4057898033;9036.798280378742;0
248;259;B259;91.59839492804709;3;3.0;3;2;1.0;-337220.9268709142;8744.94180145331;0
249;260;B260;132.10279330214985;4;3.0;3;2;1.0;-337035.54811967583;9060.368901545422;0
250;261;B261;99.49526336371002;4;3.0;3;2;1.0;-337122.9498583465;8859.144519413829;0
251;262;B262;32.08867447906012;3;3.0;3;2;1.0;-337144.35226979834;8731.634089089692;0
252;263;B263;52.78451770899625;4;3.0;3;2;1.0;-337158.9040304246;8956.300660755292;0
253;264;B264;27.51824704271836;3;3.0;3;2;1.0;-337085.5019622671;8847.553037667256;0
254;265;B265;54.98969146538718;4;3.0;3;2;1.0;-337197.6997471214;9096.25004322973;0
255;266;B266;45.71406811776707;4;3.0;3;2;1.0;-337256.5813561344;9092.736464016189;0
256;267;B267;123.97949055229074;4;3.0;3;2;1.0;-337110.7004572795;9105.368267895334;0
257;268;B268;20.805861218509392;4;3.0;3;2;1.0;-337263.19558626553;8811.621030995824;0
258;269;B269;179.43849915193886;4;3.0;3;2;1.0;-337065.75746152207;9035.880370959303;0
259;270;B270;15.674224931777417;4;3.0;3;2;1.0;-337086.64471886685;9220.743830809944;0
260;271;B271;163.62636980165667;4;3.0;3;2;1.0;-337086.6566080832;9257.799761948783;0
261;272;B272;30.95304707024336;3;3.0;3;2;1.0;-337087.12272613595;8737.479488449138;0
262;273;B273;16.33275857503158;3;3.0;3;2;1.0;-337096.5270315929;9089.102651214744;0
263;274;B274;223.45611333988188;4;3.0;3;2;1.0;-337160.7814332192;8903.862228341255;0
264;275;B275;153.34386108512066;4;3.0;3;2;1.0;-337140.9491634361;9074.019541285477;0
265;276;B276;141.8173538560125;4;3.0;3;2;1.0;-337180.5094479292;8757.532916923363;0
266;277;B277;111.42401639907708;3;3.0;3;2;1.0;-337116.1662660785;8884.138700009442;0
267;278;B278;8.067066849512743;3;3.0;3;2;1.0;-337259.8604420603;9057.777996627676;0
268;279;B279;174.37100679770367;4;3.0;3;2;1.0;-337185.2134583366;8713.652481823041;0
269;280;B280;82.19078935996072;4;3.0;3;2;1.0;-337051.4027636291;8978.32598133914;0
270;281;B281;448.0435779778333;4;3.0;3;2;1.0;-337044.72191399167;8947.566801171972;0
271;282;B282;17.907507435997374;4;3.0;3;2;1.0;-337113.62254369725;8730.882086892238;0
272;283;B283;13.032758873584338;1;3.0;3;2;1.0;-337206.0125026203;8670.257950829873;0
273;284;B284;183.81895406138455;4;3.0;3;2;1.0;-337274.97060530714;9037.199611738322;0
274;285;B285;124.15642600000925;4;3.0;3;2;1.0;-337191.0850319441;8791.28805748228;0
275;286;B286;1006.4016705485874;4;3.0;3;2;1.0;-337072.91596396075;8903.696351052806;0
276;287;B287;15.972824623733386;3;3.0;3;2;1.0;-337099.73811418394;9095.563798666068;0
277;288;B288;96.25859129269375;4;3.0;3;2;1.0;-337228.69368654006;9091.848264259785;0
278;289;B289;388.2282901220283;4;3.0;3;2;1.0;-336993.70251774666;9020.33287269454;0
279;290;B290;621.2130513776975;4;3.0;3;2;1.0;-337017.833095438;8878.438533869095;0
280;291;B291;87.74756007185104;4;3.0;3;2;1.0;-337167.8083319609;9016.90270008238;0
281;292;B292;13.363049382106453;4;3.0;3;2;1.0;-337223.5979089257;8682.307973850538;0
282;293;B293;89.59604374045672;4;3.0;3;2;1.0;-337123.0585907491;8736.53677180382;0
283;294;B294;35.24876336553014;4;3.0;3;2;1.0;-337157.65723247384;9006.846671565023;0
284;295;B295;67.11213046791721;4;3.0;3;2;1.0;-336992.4169086285;8903.922368718197;0
285;296;B296;22.222509131527396;2;3.0;3;2;1.0;-337141.59070915525;9283.850948713822;0
286;297;B297;41.46594033482235;3;3.0;3;2;1.0;-337173.4796532705;8942.378836520402;0
287;298;B298;130.69334291280774;4;3.0;3;2;1.0;-337218.16569735145;9017.830827099515;0
